	Control_1	Control_2	Control_3	a_1	a_2	a_3	b_1	b_2	b_3
P23	1.785282418	2.184780024	2.204306668	1.921202275	0.866316163	1.209609	1.62026926	1.351201853	1.770795643
P24	0.855290374	0.575584621	0.500946635	0.483132708	0.457577265	0.317161564	0.412677636	0.496008814	0.654490165
P25	0.532020684	0.271845686	0.598938937	0.672786353	0.546486679	0.510171523	0.904412865	0.724079779	0.81702529
P26	0.811058075	1.195217334	1.140892541	1.032420058	1.120483126	0.743637034	0.689386687	1.527623502	0.706936372
P27	1.261972951	1.245237152	0.965255383	1.577505354	0.948404973	1.459240133	1.136948392	1.204168822	0.964375072
P28	4.32760541	5.633240851	6.37262041	4.841296802	5.12383659	5.91064183	4.358040389	7.290041149	5.855113746
P29	4.946459825	4.994583168	7.073130136	5.059079832	4.388916519	5.590833641	6.022213912	5.815213725	5.219600447
P30	0.269785203	0.248984014	0.225590346	0.383516727	0.117270337	0.45589266	0.169940165	0.144181863	0.43315755
P31	2.192044551	1.189351301	1.4358889	3.018683997	1.985790409	3.024714128	2.584517577	1.632338722	2.040301782
P32	0.75442323	0.936028537	0.592489337	0.519496344	0.684049734	0.782192918	0.54749439	0.572594608	0.569594673
P33	0.606077963	0.413106091	0.640632477	0.323631933	0.237698046	0.570877905	0.469842932	1.300924156	0.259286347
P34	1.309069212	0.665794689	0.808738167	1.647145706	0.858728242	2.789837698	1.740987285	1.515436332	1.537895993
P35	0.365171042	0.323530189	0.312930407	0.294357876	0.179253996	0.393240502	0.305123411	0.2449801	0.285961738
P36	4.702147971	6	5.230209092	5.647441105	6.99410302	5.467170786	5.859835453	6.354417287	6.270834135
P37	1.38035004	1.147284978	1.054925622	1.834502622	2.098472469	2.30256363	1.389827973	0.989094507	1.001174025
P38	0.891567224	1.544140573	1.918048476	1.749206115	1.618188277	1.447713021	1.388107704	1.992085085	1.834962855
P39	2.201113763	1.667908574	1.167627172	1.071708146	1.543872114	2.021486536	1.267389678	0.919231894	1.607086493
P40	0.302163882	0.437838552	0.216914595	0.026018019	0.246564831	0.245776466	0.166948392	0.23562611	0.322760691
P41	1.428639618	1.562504954	1.238281494	1.310833764	1.650159858	1.510789377	1.503739716	1.372023475	1.645367412
P42	2.369371519	1.332778438	1.123374597	2.218078428	1.560923623	1.198266322	1.522887061	3.149551413	1.812579391
P43	2.934367542	4.399788611	2.989285343	1.264160697	3.765257549	2.412578384	1.60605834	2.040473995	1.243408137
P44	0.197064439	0.090424098	0.104654114	0.133948748	0.185349911	0.225894504	0.22053104	0.216861916	0.220428038
P45	3.875258552	5.69718589	4.568813066	1.450114467	3.342806394	1.684526005	3.078384443	2.987430576	2.596905193
P46	0.855369928	0.784991412	0.925371892	0.762499077	0.597428064	0.273100332	0.229094989	0.533379803	0.735709612
P47	4.822036595	3.827718325	4.607302611	3.740122591	3.279005329	3.690888971	3.771353777	3.948912824	5.121444243
P48	3.491646778	12.52318668	0.226568189	1.78236467	0.544184725	0.830219476	0.162520568	0.345085782	0.456445591
P49	0.738130469	1.087673405	0.782606887	0.933018241	1.24242984	0.98902619	0.851234106	0.907157152	0.946572231
P50	4.444550517	5.557933677	4.702174139	2.313344657	4.330373002	2.584009591	2.577187734	3.715737639	3.317487201
P51	0.398703262	0.408719778	0.244502237	0.411749502	0.231744227	0.410051641	0.365781601	0.288399703	0.268620809
P52	2.09363564	4.397146254	3.829813794	0.743002732	0.044626643	1.366469937	1.837845924	1.20999258	0.359386427
P53	0.321893397	0.087382745	0.12181421	0.396181966	0.489108348	0.483308742	0.364614809	2.265419468	1.787405212
P54	0.045993636	0.026339279	0.065667325	0.044117126	0.090480995	0.031534489	0.086005984	0.121835721	0.206224258
P55	101.7104216	132.4190778	123.129096	98.80363341	85.47637655	129.3526374	123.9267016	120.4978301	120.2317256
P56	0.051092283	0.044283261	0.05084573	0.032725796	0.042191119	0.078747695	0.070435303	0.048798147	0.049262866
P57	0.294280032	0.599894306	0.70874857	0.262447382	0.524674956	0.430560679	0.260545999	0.138227689	0.334866623
P58	2.660302307	2.812789008	2.822219911	1.535115575	3.010728242	1.829675397	2.290501122	1.958626582	2.962392702
P59	3.040970565	2.209935262	3.045667325	2.424119341	2.559857904	3.017060125	2.991697831	2.481955344	3.440086223
P60	5.075974543	6.473774607	7.759284303	4.427516432	0.356049734	4.449741793	6.5223635	6.676410406	0.212575542
P61	0.460246619	0.477896684	0.473400603	0.337345839	0.512824156	0.363933973	0.573373224	0.353675264	0.523307287
P62	15.20047733	24.9311666	22.98970145	14.51813012	20.65364121	21.38509775	16.06806283	15.60047669	16.98891412
P63	0.284303898	0.428801691	0.243420368	0.432102504	0.428035524	0.590400221	0.245041137	0.484113957	0.330478463
P64	0.122784407	0.124729819	0.082991782	0.214644413	0.219580817	0.279684618	0.185572177	0.151100668	0.274721891
P65	0.449172633	0.236852953	0.518422969	0.378339857	0.877769094	0.405062707	0.426245325	0.284442246	0.625101043
P66	1.826491647	1.57053772	1.801019453	2.225463407	1.55722913	1.697897455	1.759311892	2.258224091	2.654066746
P67	0.085823389	0.044669045	0.043524394	0.068917362	0.071813854	0.087629104	0.029118175	0.036334405	0.057989145
P68	1.757995227	0.978438367	1.121273276	1.621519829	30.94138544	1.468092955	1.788107704	1.513390147	20.83221063
P69	0.028171042	0.026307835	0.026738791	0.016643527	0.017038721	0.01042512	0.034364248	0.027538057	0.02216598
P70	14.49244232	15.71673933	14.51763237	15.80754745	17.9722913	17.52489856	14.52655198	12.68522474	15.16436352
P71	2.028400955	1.445659929	1.572890877	3.381360313	4.685186501	5.168572482	2.967090501	3.339779192	3.207975673
P72	0.784359586	0.968159598	0.708686154	0.857100657	1.107850799	1.390261896	1.467988033	1.095743485	1.634377767
P73	0.532696897	0.702497027	0.644169354	0.772690348	0.375047957	0.615999631	0.607913239	0.577878713	0.462469687
P74	0.634415274	0.551063549	0.871091231	0.917066686	0.479900533	0.806187754	0.976514585	0.764666202	0.750009623
P75	1.75274463	0.965649359	0.81826693	1.172956207	1.605683837	1.960254519	1.692296185	1.98720572	1.753358482
P76	1.664836913	2.944642621	1.172183502	1.749870763	2.070763766	2.160826263	1.507703815	1.81154858	1.411235998
P77	1.018536197	0.780816488	0.565900343	0.861531645	0.879872114	0.908871265	0.70605834	0.78940031	0.859617383
P78	1.437708831	1.577249306	1.553583689	1.983753046	1.265506217	1.528956105	2.291249065	1.476671239	1.437160784
P79	1.865712013	4.581582772	2.917715593	0.788937302	1.042600355	0.202600516	0.577853403	0.478470083	0.394491705
P80	0.111129674	0.312247325	0.302507022	1.382246511	0.229428064	0.700147547	0.929543755	0.86115171	0.892047423
P81	0.255322196	0.202267142	0.200289192	0.179779928	0.143758437	0.11271671	0.148855647	0.174040429	0.191321837
P82	3.303341289	2.771039767	1.922896078	2.590207518	3.215346359	4.147915898	1.558264772	1.341420637	1.676584934
P83	0.50017502	0.389219184	0.651992094	0.383509342	0.316845471	0.433640723	0.310493642	0.510287141	0.507602294
P84	3.35202864	3.604174924	4.669926142	5.09135219	4.572930728	5.800811509	4.436499626	2.760101635	3.056699642
P85	0.574725537	0.308997226	0.100187246	0.617716565	0.858756661	0.793683143	0.71328347	0.790389675	0.984564456
P86	1.581782021	1.230307835	0.387475294	0.97540802	0.655758437	0.821661748	1.211967091	1.294066063	2.142307248
P87	0.064789976	0.079122737	0.087733278	0.048828004	0.079474245	0.032097934	0.072483919	0.073554741	0.054732669
P88	0.115759745	0.095262254	0.225881619	0.38961672	0.104655062	0.385503504	0.312124159	0.129060329	0.362292621
P89	0.217557677	0.189591756	0.232892957	0.427376117	0.264284192	0.469236444	0.364562453	0.223643559	0.186046422
P90	0.367708831	0.166103845	0.139061687	0.018844989	0.204333925	0.09164976	0.234951384	0.184714321	0.223430463
P91	0.597541766	0.971383274	0.176040778	0.413041873	0.612944938	0.217493545	0.284592371	0.287073056	0.210766388
P92	0.139315831	0.214054697	0.683095808	0.619518499	0.840085258	0.76965142	0.606679132	0.892878825	0.683821548
P93	0.349276054	0.627084159	0.473296578	0.983826896	0.92798579	1.287255625	1.137172775	1.168799047	0.924766157
P94	6.634765314	6.138987977	6.880266306	10.40174286	7.574138544	8.98782737	8.997756171	8.392058103	9.927633858
P95	0.68132856	0.594213238	0.846978051	1.095413928	0.844490231	1.355219476	1.201421092	1.384885211	0.706147273
P96	21.62609387	15.31140177	13.13866639	11.55970755	17.29165187	21.80191811	15.26028422	15.99712185	20.43381193
P97	1.262291169	1.331113753	1.579923021	1.973266376	1.540888099	2.432958318	1.566492147	1.722550761	1.689903384
P98	1.334844869	1.422882811	1.44044523	0.993944317	1.126024867	1.032275913	0.92946896	1.230746745	1.026290465
P99	1.319968178	1.314916105	1.64887132	1.022450336	1.140717584	0.931021763	1.671802543	1.563173161	1.494399323
P100	0.032650756	0.018711058	0.040397379	0.019238609	0.066007815	0.020049797	0.069682124	0.063955658	0.084381616
P101	0.204399364	0.43123266	0.430167482	0.325625877	0.572746004	0.497288823	0.524614809	0.376633013	0.493206051
P102	0.290055688	0.531800766	0.373473421	0.215272136	0.060254352	0.247178163	0.291914734	0.066240191	0.271238308
P103	0.290055688	0.2808297	0.270779153	0.256465549	0.319815275	0.273303209	0.310344054	0.443505048	0.464067131
P104	7.349642005	6.435196195	5.572245917	8.788124954	6.541385435	6.029417189	9.667165295	9.612798777	7.290311405
P105	9.713603819	8.406922975	8.026214501	8.97201093	9.108916519	10.42419771	9.333582648	8.265014728	9.422803033
P106	0.719315831	0.238071079	1.69447623	1.265489993	0.42817762	0.925673183	0.824008975	0.172961122	0.268620809
P107	0.124232299	0.061857577	0.05113076	0.446857691	0.166294849	0.389883807	1.377486911	0.828480201	0.798818276
P108	2.701909308	2.378966838	3.257671903	3.432021269	6.427424512	4.541128735	5.748391922	6.292132305	6.530274452
P109	8.479713604	9.467829304	8.790596068	12.73318071	12.80667851	13.15197344	10.92221391	9.870033503	10.58085377
P110	0.14645187	0.199717268	0.298949339	0.322531571	0.154515098	0.083381594	0.300710546	0.132905358	0.176432888
P111	1.157756563	0.376852953	0.676521377	1.039731187	1.562344583	0.969568425	1.219296933	0.634025139	0.943954733
P112	0.311877486	0.51991016	0.604889213	0.517243926	0.550095915	0.504832165	0.495781601	0.681222315	0.606547596
P113	7.076849642	4.754128683	4.629564132	3.660438668	2.143232682	2.968922907	2.28302169	2.757178513	2.513761115
P114	0.111996818	0.177796274	0.262269843	0.127309652	0.166920071	0.255708226	0.290598355	0.182135228	0.162367682
P115	0.048988067	0.054572599	0.065993967	0.045930138	0.056464654	3.436923644	0.210897532	0.270636116	0.305592979
P116	2.536754177	1.778596908	1.329553729	1.982645299	3.219609236	3.172261158	2.813612565	2.619791784	2.382308788
P117	1.827844073	1.994477474	1.727077915	2.070452699	1.547566607	2.00267429	2.55250561	2.278685944	2.713345394
P118	0.515075577	1.450019818	1.123124935	1.200797578	1.575275311	1.015308004	0.811892296	1.40334585	0.579987682
P119	6.423866348	7.546571542	7.63133257	8.325086774	6.273960924	8.256086315	10.20867614	10.33840757	9.935909773
P120	11.28798727	21.73100806	24.56257152	14.72564803	13.29847247	15.16691258	20.05086013	17.08452319	18.90796412
P121	2.538902148	2.75677104	2.933943618	1.766043867	2.1739254	2.837237182	2.096559461	1.712814517	1.793583279
P122	0.946539379	0.478900779	0.640986165	0.490081973	0.671104796	0.527111767	0.931862378	0.950666697	0.90276762
P123	0.903739061	0.53330691	0.384645792	0.577874603	0.616909414	0.452194762	0.594667165	0.659074045	0.569613919
P124	9.828162291	9.57061699	10.66888588	7.640499225	9.223019538	10.44632977	9.204188482	9.711060644	9.299819085
P125	0.575910899	0.470498084	0.481036097	0.471073037	0.081285968	0.223293987	0.529768138	0.561014548	0.524789253
P126	1.223150358	0.542555159	0.58891085	0.816630973	1.460603908	0.634350793	0.765370232	0.401906775	0.290523115
P127	0.797613365	0.804861937	0.845147197	0.769662506	0.553932504	0.612984139	0.691166791	0.276729701	0.610666307
P128	0.302100239	0.335579337	0.419702486	1.531423085	1.005598579	1.569347104	0.99012715	0.670361793	0.789118134
P129	1.020604614	0.565940018	0.627358785	1.013588361	0.483964476	1.401051273	0.866866118	0.652710633	0.590111244
P130	0.628568019	0.557405205	0.583231041	0.245225611	0.465790409	0.350673183	0.386035901	0.268297619	0.382039339
P131	0.581256961	0.711850971	0.860314158	1.18263053	1.668206039	1.872279602	0.940912491	0.896656398	0.865737711
P132	0.411201273	0.148064474	0.500572142	0.262336607	0.348305506	0.437476946	0.417337322	0.386549142	0.361214827
P133	0.737820207	1.077447483	0.543451576	0.72792999	0.324717584	0.405136481	0.46855647	0.85503564	0.931232919
P134	15.24502784	11.56533228	12.05659003	12.53304778	14.20291297	15.78199926	14.99775617	15.88491894	15.85184187
P135	10.08512331	6.549874488	6.821179653	12.96506905	9.384724689	12.76558466	13.49962603	11.58005981	11.32876554
P136	17.58472554	17.19091029	18.26339332	13.08027472	18.92291297	16.2587606	14.62303665	16.62177051	13.68316717
P137	0.215600636	0.407821377	0.442629772	0.669396647	0.496312611	0.762320177	0.42908003	0.470150428	0.260344894
P138	0.479435163	0.277553177	0.209778425	0.3735987	0.191843694	0.088834378	0.384091249	0.145942482	0.03976481
P139	38.17820207	36.64420663	29.72433163	27.62055978	34.5008881	35.3236813	30.69035153	35.15616217	32.25297356
P140	0.486889419	0.448751486	0.330053053	0.405509194	0.230408526	0.394697529	0.349311892	0.294245947	0.354247662
P141	3.033571997	3.352358304	3.74076771	3.609039214	4.64383659	4.134267798	3.91750187	4.129246959	4.471303745
P142	0.134972156	0.284211917	0.239529803	0.260903921	0.207190053	0.232700111	0.282281227	0.342837227	0.376515647
P143	5.73540175	7.825075968	5.877249558	5.647810354	6.32312611	6.154739948	6.077187734	6.203314371	6.8809423
P144	1.030708035	0.849412076	0.61435556	0.50173547	0.710436945	0.217677979	0.857068063	1.282103748	0.875129913
P145	12.69848846	13.67366891	24.75397899	10.70305	10.72795737	8.896717079	14.67165295	11.67090145	17.78474922
P146	22.31105807	19.70854802	24.86632685	22.05819363	19.31083481	23.7707488	24.5961107	27.89782565	23.96166134
P147	0.692322991	0.332329238	0.611796526	0.912931098	0.328937833	1.420047953	1.038070307	1.007217863	0.675199199
P148	34.35719968	25.09763509	9.956725268	11.86544568	16.55133215	13.54666175	41.2789828	35.33829515	38.54651834
P149	0.873428799	0.685400978	0.901321128	1.013514511	1.141470693	1.45278495	1.25250561	0.963213635	0.888640825
P150	11.11614956	9.97542608	10.93664829	19.0886936	15.06216696	23.00719292	20.40837696	14.77840487	15.32391547
P151	3.687271281	4.478002378	3.496931239	5.767299313	4.750976909	7.998155662	5.352879581	5.133901468	4.264983256
P152	0.178114558	0.078245475	1.106335171	7.30869212	8.21740675	3.331519734	2.443605086	3.31571965	2.777435621
P153	0.207024662	0.488915312	0.379298866	0.487297836	0.599445826	1.604112873	0.241555722	0.489892744	0.305843181
P154	1.543834527	1.470498084	1.73741808	1.476331142	0.859225577	0.934433788	1.209798055	1.13252985	0.910716348
P155	678.8623707	1189.007795	1322.167898	901.3366812	523.8365897	490.8797492	480.5011219	500.0786994	342.4304246
P156	534.6698488	681.0675122	1335.129512	809.6152426	442.1030195	381.0586499	366.7165295	425.6065478	325.74387
P157	2.643754972	4.813845951	2.628731926	0.616557123	3.048952043	2.136942088	0.857666417	0.730668046	0.52438508
P158	20.42959427	15.77064341	19.82544471	22.30337494	31.63907638	26.59535227	23.30067315	19.40975423	25.65918627
P159	78.9928401	175.5819791	143.6180173	58.18698767	82.00497336	28.21929177	58.71204188	53.01643694	24.06366681
P160	33.23707239	152.6489629	124.6000208	57.18263053	72.06820604	26.02637403	38.98578908	49.83473119	18.45702298
P161	2.919570406	3.856520016	3.208987829	2.385495901	3.236092362	1.735245297	3.567165295	3.41735435	2.135378575
P162	2.063564041	1.553758753	2.872568397	9.191344805	2.54678508	4.839542604	6.488855647	7.5259146	2.481234844
P163	11.30787589	40.74778703	80.55549776	295.4877779	10.39161634	9.59055699	23.59087509	22.92851843	6.473882751
P164	0.223890215	0.127345752	0.070573182	0.06044753	0.103138899	0.083257101	0.147913239	0.125788681	0.233092113
P165	824.9005569	960.4967631	1440.237179	1133.22502	525.285968	557.9122095	808.4517577	859.2854091	688.9988067
P166	0.381447892	0.192820716	0.358514512	0.148585777	0.139892007	0.116488381	0.070453254	0.197827896	0.209322915
P167	4.594669849	3.30162505	4.331010091	5.832360978	5.160213144	5.842862412	3.473896784	2.672632833	1.641441164
P168	1.749482896	1.229911481	1.533111412	0.743002732	1.032269982	0.448155662	1.273148841	1.203494255	1.85561415
P169	3.137788385	4.260536398	5.109955269	3.62115058	4.733641208	4.199649576	4.578459237	4.049648101	5.713845799
P170	6.024582339	10.65186947	10.98699678	17.41968835	27.48845471	22.54241977	10.25729245	14.75614418	24.02132492
P171	1.239140811	1.374421984	1.752709872	2.214681338	2.919218472	3.374216156	1.105609574	1.458997594	1.286731591
P172	64.22673031	59.80446558	58.59149069	53.27745366	71.71154529	72.37735153	66.776365	69.08911025	71.45194195
P173	3.41185362	2.112405866	9.82149173	5.20714866	2.143801066	2.697989672	9.503365744	6.303375082	3.03880057
P174	67.82179793	67.27705113	74.36388224	83.65704158	67.53960924	87.99612689	86.05086013	91.48921818	98.96839755
P175	3.701988862	3.590698903	4.051804848	3.883834281	3.737975133	3.644227222	5.279132386	4.595372473	5.79352554
P176	1.421479714	0.469124059	0.431540622	1.589025921	1.042969805	1.136019919	0.917801047	0.871540036	1.310269833
P177	4.312808274	5.585149954	5.142827421	4.82822539	5.465435169	2.931851715	5.469857891	5.11119106	5.386465992
P178	76.02704853	78.31417625	88.66118797	74.29288827	100.4433393	103.1353744	104.4951384	98.00103434	91.90692482
P179	56.90692124	35.89906196	38.52075315	79.34421387	60.21456483	74.5933235	60.27823485	55.70121197	70.95923631
P180	159.8090692	185.4934602	181.7788412	169.6403515	202.8703375	199.2991516	100.8750935	89.02929868	92.78648139
P181	12.31821798	9.973840666	10.57110163	8.062181523	7.652717584	6.002028772	9.456993269	8.6135408	7.310904962
P182	2.471201273	2.028748844	2.632060751	2.061738424	1.841278863	2.276835116	1.387509349	1.780541002	1.542842296
P183	20.70485282	30.23649095	26.59731613	20.91795288	31.77833037	43.25894504	27.23709798	11.29381872	28.23626775
P184	0.681058075	0.627348395	1.281140123	1.260172809	2.268419183	0.719679085	1.205459985	1.768241405	1.486354363
P185	97.77247414	96.1791518	76.78976386	87.92555941	98.6259325	104.6661748	81.9895288	101.8438153	105.16956
P186	52.85123309	38.44100938	50.84364923	69.64182852	55.95168739	57.62357064	60.59162304	61.1629528	79.66626891
P187	1.467541766	1.22605364	0.839966712	2.473229451	3.886465364	2.445684249	2.752281227	3.234771659	3.692405404
P188	5.352108194	5.383802352	5.72121086	8.637471383	6.172362345	6.887864257	7.257591623	6.717558968	7.512798799
P189	0.328607796	0.345752411	0.431956725	5.30883982	0.398081705	0.278900775	0.199132386	0.761720595	0.085594134
P190	0.28716786	0.885321707	1.399063768	0.562085518	0.911701599	0.429832165	1.119296933	1.018820408	1.85488279
P191	0.285942721	0.265107676	0.353625299	0.338401891	0.248980462	0.208991147	0.25565445	0.294695658	0.44010547
P192	3.925059666	5.333861805	7.157599085	5.614504099	1.847957371	1.582073036	12.44353029	14.24055045	6.370145117
P193	0.584884646	1.763746862	1.362613128	0.391448194	0.884618117	0.869798967	0.52920718	0.966811324	1.015647254
P194	5.678838504	6.026952041	5.974825757	4.987667085	3.175417407	2.853098488	3.931338818	4.70622625	5.255398591
P195	3.957040573	3.900647377	3.759076251	5.575142161	4.100461812	5.035687938	4.724532536	5.381917118	5.266561453
P196	3.187987271	4.087990488	4.663892645	6.374566132	9.320071048	6.117945408	5.465370232	5.877048996	7.494129874
P197	0.258337311	0.424362531	0.485176324	0.751790857	0.398380107	0.450737735	0.285018699	0.288399703	0.293756496
P198	3.458870326	6.263707227	8.338916051	4.606159072	3.740817052	4.682220583	3.034330591	2.312414274	2.057815928
P199	28.17581543	38.34852689	40.77811297	56.41754671	34.04333925	65.81243084	47.48092745	37.85442853	31.31182878
P200	0.491821798	0.537878187	0.601955685	0.692511631	0.275197158	0.45622464	0.466813762	0.785982506	1.738134647
P201	1.279952267	1.209010437	1.733069801	1.993870467	1.736838366	2.653172261	1.742707554	1.294403346	1.277281651
P202	6.901750199	9.876601929	9.242692188	9.390739236	17.33285968	12.98137219	11.23111444	12.04596047	11.06509104
P203	87.31105807	86.5847536	79.81483408	78.45063142	55.8991119	76.20988565	81.74270755	82.70186405	85.98098464
P204	139.8727128	169.6763113	194.0309997	101.6320803	97.66110124	153.4765769	95.55721765	106.810874	71.33453944
P205	69.39936356	41.39780684	38.73088526	66.41459272	86.66571936	73.42309111	66.98728497	81.86090437	90.65783902
P206	0.122665076	0.491663364	0.721044419	0.33322502	0.142087389	0.272288823	0.148706058	0.043900794	0.028705878
P207	0.547263325	0.454855331	2.562779569	10.9822022	2.865506217	8.388694209	3.652056844	3.626020282	2.219100042
P208	25.52903739	31.90381821	35.60803079	37.03419245	27.08916519	29.47251937	32.84293194	32.77719066	26.81204049
P209	2.42760541	2.162689919	1.735379174	4.740565689	2.96	3.524806345	2.497681376	2.757403368	2.618268602
P210	1.283929992	2.203540758	1.868511391	1.052876449	2.540106572	1.880579122	1.318175019	1.038045556	1.340582778
P211	138.0270485	183.723081	182.1907833	88.61236245	195.9502664	123.247879	148.6910995	136.673937	167.550714
P212	19.16945107	16.58713172	16.29709768	18.07842848	11.93349911	17.95094061	18.24308153	17.70107706	16.75911313
P213	1.223627685	0.799048751	0.992572558	1.353962041	0.696511545	1.622556252	0.763874346	1.140354822	1.009969591
P214	38.20684169	18.34244946	17.6282118	22.09585703	23.43730018	23.33456289	15.6394914	17.05551683	19.65818546
P215	0.042184566	0.065696922	0.417954853	0.015239643	0.139721492	0.027656769	0.137270007	0.110649158	0.122747219
P216	1.560779634	1.437442198	1.172724436	1.611771656	1.629840142	1.439782368	1.398279731	1.069435388	1.443473575
P217	0.467844073	0.32146915	0.228981587	0.267203308	0.180319716	0.327803394	0.320942408	0.327974277	0.487278186
P218	8.029435163	6.28748844	5.323624259	6.480097482	7.323765542	8.933327186	8.357516829	7.727834866	7.450633204
P219	14.38504375	13.73550007	11.19567253	11.91344805	15.84227353	16.66359277	15.91772625	15.43745643	16.33203741
P220	16.63086714	17.45171093	18.97472173	14.75149546	13.39424512	20.26742899	12.93642483	13.54709599	13.95377035
P221	0.250477327	0.524270049	0.145590346	0.260770992	0.246991119	0.136665437	0.133268512	0.147653633	0.197428692
P222	2.403739061	1.808984014	0.781587434	3.78613101	3.797655417	3.475009222	3.484592371	3.938119758	3.475306979
P223	1.415513126	2.702602722	1.835285551	2.564286242	2.491936057	2.515492438	1.659685864	1.723090414	1.223199507
P224	0.203126492	0.212870921	0.225798398	0.259781405	0.085028774	0.133530063	0.061899028	0.108508533	0.070131645
P225	4.820206842	4.651869468	5.51274316	3.65970017	5.574280639	4.651235706	6.604188482	5.956647854	6.223103276
P226	2.459586317	1.975558198	3.205867055	2.816852522	1.961634103	4.185355957	3.02183994	2.5736964	2.180607414
P227	0.585799523	0.921046373	0.949339436	0.697577727	0.68625222	0.617945408	0.480074794	0.707822724	0.857346318
P228	0.604256165	0.467961422	1.681972329	5.161214091	1.03720071	1.036886758	2.478908003	2.81519124	1.457773586
P229	24.83373111	25.95296605	28.12025382	18.77409349	31.92042629	33.65455551	22.5355273	21.4455962	28.55575657
P230	0.945584726	1.19889021	0.819161552	1.492578096	1.315154529	1.217724087	1.214360509	1.311739707	1.408714731
P231	4.410103421	1.838023517	4.900863414	44.69093863	25.78756661	13.47565474	17.93492895	15.11951071	10.96077601
P232	0.274272076	0.500620954	0.774513679	0.234192453	1.136966252	0.092871634	0.584824233	0.322330403	0.509238231
P233	0.129618138	0.142835249	0.193071882	0.038085813	0.21671048	0.079317595	0.124091249	0.119618645	0.159696293
P234	0.123508353	0.165054829	0.119914699	0.133062551	0.139805329	0.188362228	0.148219895	0.160578328	0.190923438
P235	1.948369133	1.861144141	1.814105898	1.000221549	1.942166963	1.534028034	1.399027674	1.399950532	0.982100928
P236	10.01272872	10.29515127	16.592739	19.75998818	17.79751332	23.20730358	17.58040389	16.64313179	14.85411294
P237	4.621081941	5.833267274	6.032456049	5.559633705	6.075452931	4.549059388	5.846372476	4.987970229	6.322414258
P238	1.04797136	2.080908971	1.387184022	1.587770475	1.791545293	0.9525083	1.427225131	0.926314843	1.769275184
P239	0.332211615	0.194847404	0.208842193	0.302038254	0.40520071	0.370020288	0.130718025	0.191848987	0.03744178
P240	7.765632458	7.704056018	5.705190887	7.752012407	8.763197158	8.198727407	8.715781601	7.385829604	8.471650179
P241	0.076023071	0.046523979	0.210714657	0.05104719	0.107572291	0.064829399	0.070743455	0.147473748	0.178888718
P242	0.113333333	0.124410094	0.337709352	0.174580902	0.284689165	0.260743268	0.261338818	0.277786522	0.274125255
P243	91.06603023	143.2685956	85.79007594	114.7625729	135.6319716	126.4201402	97.80104712	106.0463652	93.15601062
P244	0.023980111	0.029570617	0.079662956	0.014679123	0.044794316	0.02193471	0.062656694	0.053580824	0.06963509
