	Sample1	Sample2	Sample3	Sample4
Gene66	-2.276645648	-6.469534204	-2.194678464	-2.650302703
Gene67	0.092866853	-0.764346924	-0.163774913	-2.83605087
Gene68	-0.120762265	-0.775092594	-0.228141057	2.880889576
Gene69	1.848570256	5.877877654	1.751443146	4.031107028
Gene70	2.116480621	7.132148644	2.07963426	2.657473978
Gene71	1.065721406	3.032003956	0.958344963	0.941459641
Gene72	-3.338441536	-9.222084674	-3.078356865	-6.366419072
Gene73	-2.427866757	-7.512592684	-3.153950675	-4.975392911
Gene74	-1.747024952	-5.216624502	-1.645545703	-5.3343755
Gene75	-0.355014827	-1.374452324	-0.374421456	-0.649871995
Gene76	-0.490294084	-1.473616138	-0.454746057	-0.822002721
Gene77	2.100299282	6.93905946	2.087636776	3.075792755
Gene78	1.832691699	5.865997489	1.760382056	2.339096541
Gene79	-0.139248763	-0.618378776	-0.354331243	-0.020568178
Gene80	-1.057838801	-3.441021703	-0.836838221	-1.809073517
Gene81	1.923099711	6.133319149	1.730663237	2.89971385
Gene82	0.536885907	2.277871473	0.495671325	-0.172886578
Gene83	0.579234045	0.38847833	0.608320347	0.788300837
Gene84	3.442790769	11.30920338	3.387351185	4.973377269
Gene85	1.741196982	6.080620046	1.863042239	3.318678402
Gene86	-3.471861989	-10.82958079	-3.782750714	-5.058626067
Gene87	0.057409488	-1.272745455	-0.150943539	0.954393252
Gene88	2.616397931	9.576714914	2.838431861	4.193405223
Gene89	2.45129159	8.442784403	2.506144159	3.124206299
Gene90	1.591894334	5.667142098	1.7568702	2.195905994
Gene91	-2.798067659	-7.921522931	-2.290093045	-3.901612379
Gene92	0.983334106	3.059002144	1.000108681	0.304191872
Gene93	0.478589611	3.705224523	0.906033019	1.432423279
Gene94	1.368806878	4.370718404	0.854175368	3.107486761
Gene95	0.915187709	3.235298124	0.780204291	1.019649547
Gene96	-0.642343202	-1.813573398	-0.674723682	-0.065906125
Gene97	0.797563308	2.746233709	0.90693033	1.263676356
Gene98	1.749904193	5.976571252	1.635503523	2.709635997
Gene99	-0.199539829	-1.734207373	-0.391264645	-1.09686772
Gene100	0.681462489	2.187970431	0.735752528	0.511293035
Gene101	1.116530391	4.13626589	1.279101344	1.40107211
Gene102	-0.766907529	-2.883059678	-1.055481158	-2.273567229
Gene103	-1.22239561	-5.504097401	-2.053370835	-1.52844113
Gene104	0.137143879	0.019905222	0.252650719	-0.764357231
Gene105	0.584086741	2.407550429	0.604972169	3.002908867
Gene106	0.138332576	0.892685949	0.15393972	-0.092668621
Gene107	1.406544609	5.026343942	1.371000755	2.074293992
Gene108	0.87073093	3.206702209	0.066583039	0.865815032
Gene109	0.944282451	2.430090378	0.898878586	1.15092553
Gene110	2.272978472	7.59865406	2.286607935	3.199427164
Gene111	1.900469841	7.728389762	2.285917272	3.597704344
Gene112	0.400196412	1.494422282	0.419878113	1.342503599
Gene113	1.391441767	4.664430255	1.38188764	1.652849309
Gene114	3.292853861	11.09393031	3.288754243	4.937139271
Gene115	1.531961911	4.573078218	1.6210908	2.060979686
Gene116	-0.338930885	-1.530414522	-0.404120118	0.383731357
Gene117	-1.120738196	-3.720086243	-1.305027127	-2.034578785
Gene118	-2.155292844	-6.466966156	-2.056543256	-2.066280394
Gene119	-1.691735072	-4.285530253	-1.46010184	-1.279079391
Gene120	1.208578541	3.439085505	0.960697611	1.786439961
Gene121	0.357845574	1.0738883	0.265849069	-0.72975824
Gene122	1.522175955	4.256967603	1.623644816	2.358819693
Gene123	1.197572141	3.949703476	1.155021251	1.716107959
Gene124	-0.084858976	-0.066783462	-0.088032308	0.145426141
Gene125	0.153835654	-0.138391048	-0.072387632	-0.955686939
Gene126	0.070683647	0.312608063	0.198996727	0.717631016
Gene127	1.178883933	3.520412127	0.519658948	-0.000508511
Gene128	1.156203919	4.70379144	1.263008916	1.648680877
Gene129	-1.406899868	-4.288867422	-1.620527677	-3.55025937
Gene130	1.987711238	6.890286014	1.996089333	3.460346095
Gene131	1.842345131	6.321173305	1.758695203	2.8972158
Gene132	-2.858216016	-11.18259113	-2.614349743	-6.176457215
Gene133	0.737973933	3.037198666	0.596012499	1.818976355
Gene134	-1.749875314	0.057097104	-1.446298495	-2.837735722
Gene135	1.744501176	4.558663654	1.715078022	1.825711643
Gene136	0.836101025	2.756534563	0.599892929	1.68507781
Gene137	-2.396560862	-8.467173883	-2.995666936	-4.49490635
Gene138	0.548817025	1.608193041	0.143625126	-0.383210215
Gene139	-0.111553171	-0.444801662	-0.224290833	-1.427203756
Gene140	0.634288307	2.273212073	0.527245886	0.931636933
Gene141	-2.160635094	-7.314413284	-3.023032517	-2.929086638
Gene142	1.926959168	6.118788402	1.240549498	2.541244198
Gene143	0.483020052	2.635794538	0.469297765	-1.041428599
Gene144	-0.345859116	-1.069412027	-0.816440017	-1.883745487
Gene145	-2.373604721	-9.022203355	-3.227063024	-2.33593733
Gene146	2.023082464	6.829397756	2.064976862	2.804845541
Gene147	-0.882493686	-3.086223218	-0.608224337	-1.852642234
Gene148	-2.360655034	-8.506227419	-2.33200931	-2.062397546
Gene149	-0.623709767	-3.629281343	-0.920730265	-0.761609231
Gene150	0.206726873	1.058484699	0.297059234	0.783246526
Gene151	0.982044615	2.806573531	0.791104068	-0.336200483
Gene152	2.175239546	7.204616433	2.166917776	3.13865936
Gene153	-0.13899537	0.074231151	-0.028953333	-0.943750764
Gene154	-0.181847631	-0.181540971	-0.285450118	-0.228238971
Gene155	-0.075155814	-0.126588568	0.088887988	0.122693277
Gene156	-1.618060026	-6.701093522	-1.768958254	-2.838699346
Gene157	-1.112404462	-3.640531951	-1.869316016	-2.770623603
Gene158	-3.241635907	-8.246265385	-2.754165226	-6.256152422
Gene159	1.589141833	5.458447485	1.6735484	2.335044034
Gene160	2.806552283	9.510377734	2.768936384	4.345868171
Gene161	0.470100086	1.120533236	0.228749209	0.195982895
Gene162	2.586919876	8.460354739	2.362347693	2.922373403
Gene163	1.745632221	5.781954697	1.868280977	4.173645328
Gene164	0.132676657	0.271891219	-0.275228741	-0.793966266
Gene165	-1.509750219	-4.715160791	-2.098258777	-1.303299786
Gene166	-2.06869582	-6.283433567	-2.191738468	-3.249679382
Gene167	0.892021081	3.271263134	0.898399799	1.64359058
Gene168	0.853565874	3.100367343	0.859113102	0.874354534
Gene169	2.408341022	8.565005156	2.532290196	3.855081123
Gene170	1.808865114	6.124887287	1.786203681	2.217424893
Gene171	0.005962785	0.645683796	0.264876994	0.552433376
Gene172	0.806277018	1.334879114	0.590525517	3.199900417
Gene173	1.110738519	3.259838111	1.059315785	1.781354086
Gene174	0.711268294	2.241354253	0.632837749	0.434733644
Gene175	0.755864199	2.317445653	0.678218387	1.451172656
Gene176	-0.36612144	-1.369303028	-0.106713132	-0.494920486
Gene177	0.028299866	0.518614233	0.288870458	-0.538066074
Gene178	1.30579106	4.691625565	1.325290726	2.152351798
Gene179	-0.887836826	-1.723983133	-0.766279629	1.52686645
Gene180	3.627093178	12.07150132	3.60483462	5.616056212
Gene181	0.844723562	1.726459313	0.248358386	0.72066643
Gene182	-0.475109797	-1.97762567	-0.368699468	-1.200249239
Gene183	0.23215366	1.031389758	0.075758644	0.097280951
Gene184	0.854328538	3.37688691	1.034316202	2.19161547
Gene185	1.197696951	3.056238415	0.900101113	1.399144318
Gene186	0.202571804	1.380289733	0.402643026	0.582410741
Gene187	3.045815625	9.997786767	3.016308625	3.577122968
Gene188	2.551821149	8.311571066	2.425256265	3.63155257
Gene189	1.267388472	3.873120929	1.288763604	1.364013569
Gene190	-0.065825499	-0.167644978	0.062528276	-1.612442806
Gene191	0.964708105	3.172700959	1.044069221	1.299833855
Gene192	-0.065987408	-0.092282951	0.125729473	-0.825650676
Gene193	1.434015662	4.016422617	1.026622602	1.481639571
Gene194	3.503521653	11.47710295	3.487655438	5.506423476
Gene195	0.293840038	1.121521426	0.502177219	-0.2866574
Gene196	-3.169841595	-12.2993093	-4.187527065	-1.53040425
Gene197	-2.095678929	-9.822117347	-2.443353697	-3.517906548
Gene198	-0.908986418	-1.101659733	-0.269600723	1.195362765
Gene199	-2.023479965	-10.39217606	-2.142803514	-3.140522272
Gene200	-0.56676564	-3.285237203	-0.656142259	-0.13822263
Gene201	2.302709107	7.67002318	2.405717828	3.945674688
Gene202	-1.024160855	-5.479907128	-1.268919387	-1.470808151
Gene203	-3.466331376	-11.34577304	-3.560687069	-5.080592761
Gene204	0.015370192	0.466470488	0.130351074	0.56207649
Gene205	-0.200448706	-1.185479909	-0.270285374	-0.138023535
Gene206	-2.95880276	-10.17189508	-3.262223741	-3.77320154
Gene207	-1.463681024	-4.461717102	-1.248993734	-2.632764818
Gene208	0.264932557	0.959562643	0.318573702	1.011252884
Gene209	-0.536927678	-1.13876132	-0.513320163	-0.572722035
Gene210	-3.072523559	-10.01336855	-2.578743446	-3.866084437
Gene211	0.693519176	1.409417899	0.888668143	2.600612876
Gene212	-2.784499308	-8.776686699	-2.6597511	-1.943836758
Gene213	1.123275324	3.945471209	1.127644003	1.964119818
Gene214	1.606429312	5.38043302	1.629732607	3.457776547
Gene215	1.605848632	5.217064783	1.545513349	2.385744498
Gene216	-1.687256448	-5.9043483	-1.123283995	-1.08900356
Gene217	-1.354504322	-4.350705235	-1.476669595	-1.662919107
Gene218	3.138924981	10.20053088	3.049296635	5.006311227
Gene219	0.713768718	2.616921815	0.732428703	-1.261756765
Gene220	-0.465515865	-3.097064096	-0.398751685	-1.136702879
Gene221	0.083834598	0.599397913	0.182585039	1.123531392
Gene222	-0.78944175	-3.390149743	-0.765324117	-0.182022543
Gene223	3.495820822	11.92285232	3.613396498	4.821762555
Gene224	1.067713155	3.214972858	0.967027219	0.430106111
Gene225	2.239713502	7.665679352	2.302872525	3.444295969
Gene226	1.735333568	5.135784931	1.528769974	1.71928562
Gene227	0.407007298	1.002878499	0.389009849	1.152526428
Gene228	0.787018176	2.453362523	0.801534641	0.813425627
Gene229	0.356013276	4.448216998	1.139588461	0.940004884
Gene230	0.695102054	1.783110185	0.566344972	0.743846684
Gene231	-1.858836762	-6.338551482	-2.553808057	-3.006154558
Gene232	-0.379968863	-0.956697072	-0.334435868	-0.495400426
Gene233	1.21771327	3.347289971	1.127474749	1.81584088
Gene234	1.769398728	5.979179854	1.897466199	2.874357103
Gene235	1.558672477	5.38730975	1.485701532	2.397761667
Gene236	1.424080112	4.78367217	1.301289715	1.928953627
Gene237	-2.443879189	-9.786052663	-2.313410638	-3.836876876
Gene238	0.901464128	3.774292952	0.903177385	0.672391124
Gene239	-0.94318284	-4.487841655	-0.966381902	-1.531714428
Gene240	2.780320441	9.184691185	2.689822207	4.204124686
Gene241	-0.6213984	-2.269431731	-0.699136674	-1.147589961
Gene242	-0.182707476	-0.682264528	-0.200728772	-0.368397065
Gene243	2.554813189	8.40780759	2.565213677	3.768705757
Gene244	-0.770087276	-1.767576069	-0.742798827	-1.194118223
Gene245	2.154155166	6.98707285	2.176553928	2.84946116
Gene246	-0.136875719	-0.179788634	-0.059213572	0.268972366
Gene247	-0.130276698	-0.786456737	-0.22722221	-1.639715311
Gene248	-1.10985093	-2.981514567	-1.243088117	1.391767313
Gene249	0.689792978	2.126416851	0.646553116	2.653175759
Gene250	0.938530829	3.895550275	1.064286647	2.084824811
Gene251	1.236816857	4.264544677	1.250215406	2.300148382
Gene252	1.689234667	5.437310233	1.725603696	2.449508355
Gene253	0.596913302	2.500731742	0.709040284	-1.035477793
Gene254	3.171583821	10.31463106	3.126840081	4.289831719
Gene255	2.187729501	7.370904661	2.114237235	2.538238252
Gene256	3.534067107	11.77009947	3.492557116	5.206721196
Gene257	0.010323008	-0.757395235	0.137619511	-0.319346373
Gene258	0.310817994	0.683194463	0.136822109	-0.534846409
Gene259	0.815220416	3.63221435	0.894828271	1.472006324
Gene260	2.587583323	8.168544393	2.599061633	5.414660197
Gene261	-0.113079571	0.422040181	-0.046717283	0.316152361
Gene262	-0.645412741	-2.842789712	-0.682088585	-2.989008449
Gene263	-1.950246517	-6.392398919	-1.533703498	2.20403269
Gene264	-0.839660725	-1.431980118	-0.687037487	2.130661525
Gene265	0.726844305	3.429046576	1.051356313	1.756338616
Gene266	-0.186536136	-0.045074275	-0.107294841	0.060657635
Gene267	1.165183042	4.12651988	1.12772862	1.490337593
Gene268	0.743099454	2.65164871	1.111349495	2.471969345
Gene269	2.051008807	7.045450867	2.063036096	1.124561318
Gene270	-2.110568106	-6.481437254	-1.998656304	-2.919137617
Gene271	-3.071660877	-10.94683614	-2.369620777	-3.458278339
Gene272	3.892120605	12.88163139	3.710894862	5.484730518
Gene273	1.822365195	6.262237749	1.865047933	2.835348869
Gene274	1.251115866	4.179707911	1.188898101	1.183200981
Gene275	0.592046373	1.699984449	0.513109728	1.552691585
Gene276	-2.304405729	-7.070881929	-2.789447883	-4.192731034
Gene277	-3.970224369	-12.70808811	-3.728393429	-8.060309616
Gene278	3.030760868	10.31609291	2.928459026	4.33994546
Gene279	-1.60179166	-6.697446674	-1.817717765	-0.575491037
Gene280	1.277694857	4.307243537	1.246916186	1.788866253
Gene281	1.569515818	5.419940602	1.423280394	0.534740021
Gene282	-1.304667127	-4.568737403	-1.007002138	-0.792826064
Gene283	-1.01028921	-3.468709194	-0.987870934	-0.667817725
Gene284	0.230119493	0.531651468	0.175363213	0.775470571
Gene285	0.889476479	3.356904146	1.019482398	-0.470570441
Gene286	1.45841503	5.219281128	1.449564994	1.653934823
Gene287	-0.029578233	-0.124051222	-0.181728494	-0.056373757
Gene288	-2.667753087	-8.004762557	-2.467391814	-1.867577097
Gene289	-0.603097301	-2.23157312	-0.798160756	-1.146302725
Gene290	-1.048044095	-4.089447672	-1.179393551	-2.059957934
Gene291	-0.434525398	-0.384131271	-0.421834026	-0.624519436
Gene292	1.83948077	6.479192945	1.869369775	2.638049894
Gene293	2.08100093	6.63900604	2.053510069	2.718704499
Gene294	0.47216478	1.322188939	-0.165207412	-0.306149544
Gene295	0.307955952	1.14645838	0.385105674	0.683714549
Gene296	2.488785129	8.391966078	2.657546801	2.850004432
Gene297	-2.596848133	-9.560242145	-2.12873622	-4.634611135
Gene298	0.129715625	1.042200215	-0.299049341	0.154856105
Gene299	-0.516764105	-1.607708179	-0.461875144	-2.236982045
Gene300	-0.468923846	-2.709712249	-0.679558834	-0.533757441
Gene301	2.910888298	10.31024166	2.909054642	5.181336412
Gene302	1.81055699	5.801426105	1.713948716	-2.518829513
Gene303	1.157374042	3.959557919	1.12755938	1.795024619
Gene304	0.388304781	-0.137574083	0.381364688	0.645002723
Gene305	1.435164578	3.739336999	1.113497447	2.246091712
Gene306	0.334154483	1.087092014	0.554632353	0.473104399
Gene307	3.476922888	11.78061133	3.462820997	4.688736561
Gene308	1.378123878	4.393380328	1.199073787	2.319690857
Gene309	-2.36614662	-7.828848884	-2.371242946	-2.349093794
Gene310	-0.521859893	-2.807172121	-1.026615923	-1.253609592
Gene311	2.322896107	8.127814925	2.212681744	2.718823067
Gene312	2.068122764	7.088504347	2.424655047	3.628597922
Gene313	0.111553404	0.832746762	0.017178368	-0.21993197
Gene314	-0.273905362	-0.546718587	-0.079450515	-0.261675352
Gene315	1.510104105	5.126190036	1.548267597	1.67077984
Gene316	-0.351268072	-2.799367849	-0.558926745	0.301520983
Gene317	-0.457079025	-1.961890391	-0.395233941	-2.036695039
Gene318	0.197449721	0.497354119	-0.110617055	-0.529978124
Gene319	-1.433413009	-6.175270732	-1.806118097	-2.801569325
Gene320	2.32930302	7.733785523	2.287470593	3.738131299
Gene321	-1.3696223	-4.802230057	-1.578672983	-0.706633287
Gene322	-1.610582322	-5.382313941	-1.293575981	-2.925762957
Gene323	-0.767026215	-2.393779252	-0.590049805	-1.194842959
Gene324	-3.150673329	-11.99012804	-2.54427828	-3.758002027
Gene325	-2.449353944	-10.86612723	-3.821856578	-2.131015356
Gene326	-2.574625615	-9.649489548	-3.698081584	-4.765512709
Gene327	0.204606576	0.874753255	0.510132836	-0.003435803
Gene328	1.866057393	6.147276413	1.876558272	2.838581569
Gene329	-0.187898761	0.445075826	-0.064663101	0.158209634
Gene330	-0.335629245	-0.211128628	-0.038033372	-0.865501581
Gene331	2.230943908	7.157718894	2.276049979	2.703958926
Gene332	-0.177559459	-0.731627035	-0.208827152	0.817747941
Gene333	1.185769878	3.81006248	1.023763247	1.619974789
Gene334	0.499963181	2.353598304	0.750975414	1.365548694
Gene335	-3.934783113	-15.03426698	-3.179562904	-4.536701657
Gene336	-1.565731755	-4.63419425	-1.271246052	-2.430276728
Gene337	-1.440952772	-6.5330776	-1.487772831	-1.727222693
Gene338	-0.392254876	-2.23977853	-0.631171429	-0.609069502
Gene339	-1.255018568	-4.888435811	-1.457123891	-2.736246627
Gene340	-1.664431133	-2.568366651	-2.103524117	-0.952976724
Gene341	-1.632057037	-5.58438153	-1.107142075	-2.429359302
Gene342	0.369245802	2.763585402	0.450654975	3.265651054
Gene343	-0.573491794	-3.036208131	-0.586825401	-2.030284924
Gene344	1.223851625	4.149836054	1.116197313	2.124154494
Gene345	-0.471636535	-1.253953158	-0.287398995	-1.554522568
Gene346	-1.29626967	-5.278274293	-1.530800384	-3.475900815
Gene347	0.879003987	3.617916846	0.762196674	0.439888755
Gene348	1.019775385	3.011517431	0.80100689	2.083014419
Gene349	0.187446114	1.16991201	0.311995672	0.714251114
Gene350	0.652823445	2.155766383	0.544071	1.350421528
Gene351	-1.309453775	-4.227008614	-1.306666867	-0.705005444
Gene352	0.40865701	2.059482174	0.502414439	0.618187564
Gene353	2.996310874	10.27766366	3.157149707	4.476009489
Gene354	1.239693063	4.445180567	1.2831658	2.441577567
Gene355	-1.144301901	-4.162738645	-1.162620432	-3.322159595
Gene356	-1.509438449	-7.56851966	-1.726717996	-2.896051503
Gene357	0.875852212	4.113256996	0.849213132	-0.190884499
Gene358	1.879611466	5.980713373	1.770154594	1.84632135
Gene359	-0.103222282	-0.23885066	-0.143374282	-0.075403985
Gene360	2.865235785	9.047640496	2.77465769	4.49925305
Gene361	-0.074606303	-0.231774935	-0.331610107	-1.539295563
Gene362	-1.607758144	-6.052323721	-1.554821341	-3.123380911
Gene363	0.93971611	3.733926473	0.969359553	1.603917931
Gene364	-1.981039362	-1.796378364	-2.383210536	-0.350949909
Gene365	0.335830268	1.993458502	0.585008261	0.674593171
Gene366	-0.102855663	1.010514457	0.13723228	0.779687549
Gene367	0.785323101	2.58012875	0.876939863	1.786439961
Gene368	-2.02891527	-6.052607095	-1.583181358	-2.910391238
Gene369	-1.934578386	-7.468534377	-2.025332368	-3.436115698
Gene370	2.703243164	9.056182816	2.716348032	5.084115287
Gene371	1.457228353	4.719831942	1.436819678	3.238794709
Gene372	-0.206122576	-1.112457212	-0.269258573	-1.598146896
Gene373	-1.527937689	-4.879654421	-1.35426313	-2.092939045
Gene374	-0.027975612	0.390160371	-0.102433453	-1.269355781
Gene375	-0.258708184	-0.801493523	-0.389411256	0.169393693
Gene376	-0.973762087	-3.378187249	-0.966656704	-2.786831215
Gene377	0.203999951	-1.322353898	0.058752761	0.218330412
Gene378	0.380894213	0.637430096	0.288968338	-0.517824804
Gene379	0.164378213	0.548864257	0.181408632	-2.59347575
Gene380	-0.661597453	-3.548897465	-0.562612603	-0.96050191
Gene381	2.282092116	7.393058155	2.482543098	3.102170369
Gene382	1.000606751	3.677191389	0.971241301	1.699825574
Gene383	-0.494420125	-1.941685299	-0.473178704	-0.575277856
Gene384	2.862720456	9.23618237	2.720830412	4.449878361
Gene385	1.271415583	3.862717801	1.543924122	1.472142434
Gene386	0.638299544	2.87052103	0.613286305	-0.230757009
Gene387	-1.269822834	-4.208705229	-2.170927292	-1.253735243
Gene388	2.108732197	6.766528843	2.005366739	3.249570047
Gene389	-1.524324259	-5.515173213	-1.792609182	-2.719237861
Gene390	0.6613238	1.859729638	0.747516272	0.115750217
Gene391	0.294189215	0.787547595	0.303832362	1.550497187
Gene392	-1.941949311	-4.903658353	-2.019408184	-1.993691813
Gene393	2.089921382	7.386226419	2.084456452	3.027333668
Gene394	-0.614649045	-2.811241868	-0.809340581	0.665182926
Gene395	-1.223706533	-3.791791954	-1.456787321	-0.611933789
Gene396	0.404067741	0.708006382	0.305566633	1.985246242
Gene397	0.039409908	1.417865888	0.362810612	-1.239519894
Gene398	2.77432008	8.845844793	2.763429445	4.820813904
Gene399	0.09576357	0.686798595	0.246695503	0.047750149
Gene400	-1.109015126	-4.070943916	-0.905781525	-2.177121161
Gene401	0.678460427	2.513771267	0.863861344	0.579081926
Gene402	-0.601562074	-3.21506947	-0.647491144	-3.072960805
Gene403	2.543408494	7.896302902	2.605742203	3.053479111
Gene404	5.274217126	17.91257368	5.281264161	7.961428967
Gene405	2.969865935	9.489841871	2.968660282	4.634766608
Gene406	3.985924254	13.48131754	3.907215902	6.255949734
Gene407	0.723708356	2.141487734	0.790274389	0.675519384
Gene408	1.155249472	3.807267972	1.125102167	4.492363154
Gene409	3.849034013	12.72502164	3.671859477	6.308383648
Gene410	2.175630761	7.66248719	2.221817997	3.43270185
Gene411	2.298774513	7.325126876	2.352799783	2.860963558
Gene412	3.37200231	11.30222127	3.363711324	4.971991953
Gene413	0.791461932	2.324340305	0.702265409	1.338789255
Gene414	4.470488471	15.02144463	4.501853283	6.246075077
Gene415	0.355820207	1.304154071	0.417298797	0.266101115
Gene416	-1.775494061	-10.29343842	-2.307326546	-1.513475293
Gene417	-0.206952712	0.203931304	0.184770784	1.724700997
Gene418	1.579021891	4.620912041	1.510588175	3.327435642
Gene419	-2.417440689	-7.674085059	-2.597115858	-4.367579177
Gene420	-0.020816535	-0.978825888	-0.18254372	0.15981014
Gene421	1.702706543	5.482657529	1.324213758	2.768327122
Gene422	-0.114701029	-3.696383309	-0.749799186	0.321144535
Gene423	-1.636011565	-4.820194283	-1.15890784	-2.83605087
Gene424	5.357663668	17.67995462	5.333696568	7.827440738
Gene425	2.502993931	8.171763872	2.488842931	5.57745922
Gene426	2.091811662	6.929096396	2.050538648	2.816554985
Gene427	1.409376421	4.212443114	1.140340718	4.026279693
Gene428	-0.734274682	-0.263260597	-1.029099489	0.895093119
Gene429	0.922445274	2.264808708	0.844506977	1.983988948
Gene430	0.816256591	2.498771405	0.89140471	0.214416404
Gene431	-2.373382832	-5.068049304	-2.409196457	-0.188082492
Gene432	-0.190179492	-1.147076954	-0.137494786	0.821007783
Gene433	1.019825085	3.18637856	0.905399138	1.41845271
Gene434	-2.034338127	-6.555409359	-2.304376867	-1.62023032
Gene435	4.389005998	14.80520657	4.403258814	6.822004841
Gene436	3.84388414	12.88906939	3.897717401	6.436613196
Gene437	4.67347565	15.65750316	4.656316467	7.2489933
Gene438	-2.16424052	-8.09049979	-2.545643651	-4.244056841
Gene439	0.883001023	4.543714626	1.460452733	6.532937709
Gene440	2.849729145	9.587384088	2.79378892	4.24496718
Gene441	6.875234593	22.88433435	6.857883894	10.81245142
Gene442	-1.349816483	-3.826778031	-1.205398116	-0.789379908
Gene443	3.6825828	12.43593265	3.662109491	4.882312578
Gene444	3.29515477	11.09558326	3.318004941	5.267118678
Gene445	2.956269	9.869944157	2.912539833	4.530757788
Gene446	3.105842543	10.3292208	3.186675583	4.863345958
Gene447	3.104545646	10.35614777	3.057437792	4.512490416
Gene448	2.202307242	7.315844033	2.142390145	2.883361819
Gene449	0.489291259	2.284151347	0.527631436	0.820587555
Gene450	4.292521697	14.46288076	4.457518744	6.654509156
Gene451	-0.98506413	-4.913509885	-1.002398524	-1.858397759
Gene452	2.534585787	8.763041126	2.683682032	3.791495444
Gene453	4.309426455	15.14248289	4.556493044	7.025655576
Gene454	-2.034822992	-6.511869991	-1.726424179	-3.429312314
Gene455	-0.741798175	-1.953677654	-0.248672798	1.739806403
Gene456	5.054033616	17.25278039	5.009122741	7.348050263
